class,latitude,longitude
person,32.7762719,-96.7968559
person,30.2711286,-97.7436995
person,30.2711286,-97.7436995
person,34.054935,-118.244476
person,51.1310821,-114.0241702
person,33.7490987,-84.3901849
person,36.1622296,-86.7743531
person,43.6211955,-84.6824346
person,33.7490987,-84.3901849
person,25.7742658,-80.1936589
person,34.054935,-118.244476
person,33.1506744,-96.8236116
person,41.8755546,-87.6244212
person,40.572851,-111.833449631627
person,38.953669,-94.733734
person,30.2711286,-97.7436995
person,34.1446643,-118.6440973
person,30.6253463,-96.3271538
person,34.054935,-118.244476
person,30.6253463,-96.3271538
person,20.757398,-156.445999
person,33.7490987,-84.3901849
person,30.2711286,-97.7436995
person,31.8160381,-99.5120986
person,33.5778631,-101.8551665
person,34.054935,-118.244476
person,40.7306458,-73.9866136
person,38.8949549,-77.0366456
person,40.7306458,-73.9866136
person,50.1292919,-123.118107
person,40.7306458,-73.9866136
person,40.76223515,-73.9869498477402
person,51.5073219,-0.1276474
person,39.7391536,-104.9847034
person,34.054935,-118.244476
person,47.1736674,14.5909926
person,40.7306458,-73.9866136
person,19.5059496,-99.075962
person,32.7762719,-96.7968559
person,36.1556805,-95.9929113
person,35.9803138,-78.5103731
person,40.7306458,-73.9866136
person,34.054935,-118.244476
person,10.33242335,106.321560437193
person,31.8160381,-99.5120986
person,38.8949549,-77.0366456
person,51.5073219,-0.1276474
person,-33.9473522,150.8795494
person,48.1359085,17.1597440625
person,13.7045546,100.502664
person,33.7490987,-84.3901849
person,36.29885175,-82.3591933141095
person,36.29885175,-82.3591933141095
person,35.2270869,-80.8431268
person,32.7174209,-117.1627714
person,32.7762719,-96.7968559
person,32.701939,-97.1057149357776
person,30.6253463,-96.3271538
person,34.054935,-118.244476
person,30.6253463,-96.3271538
person,31.8160381,-99.5120986
person,34.054935,-118.244476
person,49.1777071,5.3518053
person,34.054935,-118.244476
person,30.61179915,-96.352044754213
person,39.7683331,-86.1583502
person,30.6253463,-96.3271538
person,29.7589382,-95.3676974
person,30.2711286,-97.7436995
person,40.7306458,-73.9866136
person,32.7762719,-96.7968559
person,32.7762719,-96.7968559
person,32.7762719,-96.7968559
person,49.2608724,-123.1139529
person,45.1047263,7.695728
person,64.4459613,-149.680909
person,64.4989922,-165.398799443163
person,60.104202,-149.4426113
person,40.2578536,-105.8562137
person,50.9506573,7.1157038
person,37.84054795,-119.516587798025
person,36.7285708,-121.2785409
person,39.0121773,-114.1233264
person,44.6200885,-110.560757459431
person,43.6557657,-110.7182647
person,34.0658454,-117.2176775
person,39.4225192,-111.7143584
person,39.4225192,-111.7143584
person,31.549333,-97.1466695
person,-26.205,28.049722
person,41.9167594,-73.5662363
person,29.7589382,-95.3676974
person,41.056491,28.965107
person,36.1622296,-86.7743531
person,44.07153355,-103.256884045478
person,36.7014631,-118.7559974
person,40.7306458,-73.9866136
person,29.4246002,-98.4951405
person,35.7882973,-78.7811925
person,34.2978794,-83.8240663
person,45.1047263,7.695728
person,28.739251,-81.867991
person,53.2170696,6.5675249
person,40.7306458,-73.9866136
person,40.7306458,-73.9866136
person,40.6688363,-111.8246557
person,38.8949549,-77.0366456
person,39.7837304,-100.4458825
person,40.7306458,-73.9866136
person,40.7306458,-73.9866136
person,27.9477595,-82.458444
person,29.7589382,-95.3676974
person,51.6025888,17.6713864
person,35.4939587,-85.0124535
person,51.5073219,-0.1276474
person,40.7306458,-73.9866136
person,34.054935,-118.244476
person,34.054935,-118.244476
person,39.7391536,-104.9847034
person,29.5258735,-95.1598337
person,41.8755546,-87.6244212
person,40.844004721183,-76.5489663891789
person,31.8160381,-99.5120986
person,29.8946952,-81.3145395
person,38.2971366,-122.4574801
person,54.561432,-1.3178698
person,35.9966551,-78.9018115
person,46.3820585,6.2402791
person,35.2270869,-80.8431268
person,29.6519396,-82.3249961
person,28.0836269,-80.6081089
person,34.054935,-118.244476
person,32.7174209,-117.1627714
person,53.0758196,8.8071646
person,39.0844687,-94.5630298
person,39.0844687,-94.5630298
person,40.7670126,-111.8904308
person,32.7762719,-96.7968559
