class,latitude,longitude
people,40.7306458,-73.9866136
people,33.2744062,-96.800825264659
people,32.7762719,-96.7968559
people,38.5815719,-121.4943996
people,32.7477707,-97.3138706
people,14.0728749,121.3155078
people,40.4416941,-79.9900861
people,32.7762719,-96.7968559
people,25.2335112,55.2641028
people,32.9299655,-97.2271249
people,26.3100794,-80.23727
people,40.7306458,-73.9866136
people,34.054935,-118.244476
people,32.9481789,-96.7297206
people,38.8949549,-77.0366456
people,46.8443248,-71.2743272
people,46.8443248,-71.2743272
people,32.7762719,-96.7968559
people,32.2218917,-110.9262353
people,38.8949549,-77.0366456
people,49.9584438,-110.2732606
people,45.5073725,-73.6050824
people,32.7762719,-96.7968559
people,38.417587,-86.996934
people,32.7762719,-96.7968559
people,32.7762719,-96.7968559
people,38.8949549,-77.0366456
people,33.1506744,-96.8236116
people,34.054935,-118.244476
people,42.3604823,-71.0595678
people,32.7174209,-117.1627714
people,45.5073725,-73.6050824
people,40.7306458,-73.9866136
people,39.7837304,-100.4458825
people,31.8160381,-99.5120986
people,44.9772995,-93.2654692
people,40.7306458,-73.9866136
people,36.7295295,-119.708861260756
people,35.7803977,-78.6390989
people,38.285056,-122.4212575
people,30.2711286,-97.7436995
people,33.7490987,-84.3901849
people,32.7762719,-96.7968559
people,46.8443248,-71.2743272
people,34.054935,-118.244476
people,40.7306458,-73.9866136
people,34.054935,-118.244476
people,34.054935,-118.244476
people,-37.4809225,-72.3334112
people,40.7306458,-73.9866136
people,37.496904,-122.3330573
people,34.054935,-118.244476
people,49.0139234,-57.5986531
people,37.6624312,-121.8746789
people,33.1506744,-96.8236116
people,40.7306458,-73.9866136
people,33.59375255,-101.899595523028
people,46.8443248,-71.2743272
people,39.7837304,-100.4458825
people,32.6484562,-96.782610231316
people,34.054935,-118.244476
people,40.0757384,-74.4041622
people,46.8443248,-71.2743272
people,39.789164,-120.542984
people,51.5073219,-0.1276474
people,48.16324265,17.17079171303
people,41.8755546,-87.6244212
people,59.3251172,18.0710935
people,34.054935,-118.244476
people,38.8949549,-77.0366456
people,38.8949549,-77.0366456
people,40.7306458,-73.9866136
people,32.7762719,-96.7968559
people,32.7762719,-96.7968559
people,41.3082138,-72.9250518
people,32.7762719,-96.7968559
people,36.7014631,-118.7559974
people,40.7306458,-73.9866136
people,32.7762719,-96.7968559
people,32.7762719,-96.7968559
people,32.7762719,-96.7968559
people,32.7762719,-96.7968559
people,47.3723957,8.5423216
people,44.3669375,-80.7272504
people,40.7306458,-73.9866136
people,38.8949549,-77.0366456
people,32.7762719,-96.7968559
people,36.29885175,-82.3591933141095
people,39.7837304,-100.4458825
people,19.5417212,-80.5667132
people,43.0171773,-83.7236024
people,19.1334321,72.8882172
people,42.3750997,-71.1056157
people,38.8949549,-77.0366456
people,28.6517178,77.2219388
people,39.4225192,-111.7143584
people,40.7306458,-73.9866136
people,34.054935,-118.244476
people,8.444585,125.951249185475
people,47.6038321,-122.3300624
people,38.8903961,-77.0841585
people,37.442156,-122.1634472
people,38.8949549,-77.0366456
people,39.7837304,-100.4458825
people,38.8641752,-76.99177
people,39.7837304,-100.4458825
people,38.8949549,-77.0366456
people,39.7837304,-100.4458825
people,38.029306,-78.4766781
people,42.075346,-73.601633
people,33.7500378,-117.8704931
people,42.1167065,-86.4541894
people,35.4729886,-97.5170536
people,29.4246002,-98.4951405
people,36.29885175,-82.3591933141095
people,38.8949549,-77.0366456
people,37.6549493,-122.4081251
people,43.0317491,-80.3310713
people,40.8517821,-73.0992277431
people,33.5206824,-86.8024326
people,43.0317491,-80.3310713
people,38.8949549,-77.0366456
people,38.8949549,-77.0366456
people,40.7306458,-73.9866136
people,46.8443248,-71.2743272
people,32.764893,-117.080307
people,39.7837304,-100.4458825
people,42.36782045,-71.1266665287448
people,40.7306458,-73.9866136
people,46.8443248,-71.2743272
people,34.1430079,-118.14176172581
people,40.7306458,-73.9866136
people,40.6501038,-73.9495823
people,47.6038321,-122.3300624
people,38.8949549,-77.0366456
people,38.8949549,-77.0366456
people,-34.8905265,150.046977
people,19.5059496,-99.075962
people,40.7306458,-73.9866136
people,46.8443248,-71.2743272
people,41.3082138,-72.9250518
people,38.8339578,-104.8253485
people,37.442156,-122.1634472
people,38.8949549,-77.0366456
people,49.9584438,-110.2732606
people,36.7014631,-118.7559974
people,38.8949549,-77.0366456
people,41.6500201,-72.7342163
people,45.5073725,-73.6050824
people,46.8443248,-71.2743272
people,34.054935,-118.244476
people,25.6905515,-80.235008979837
people,46.8443248,-71.2743272
people,34.054935,-118.244476
people,41.8755546,-87.6244212
people,31.8111305,-106.501349395577
people,38.8949549,-77.0366456
people,40.7306458,-73.9866136
people,36.29885175,-82.3591933141095
people,36.29885175,-82.3591933141095
people,34.1430079,-118.14176172581
people,42.3750997,-71.1056157
people,47.6038321,-122.3300624
people,8.444585,125.951249185475
people,55.6867243,12.5700724
people,37.034583193882,-121.517372158299
people,32.7762719,-96.7968559
people,40.7306458,-73.9866136
people,36.29885175,-82.3591933141095
people,32.7762719,-96.7968559
people,44.0009649,3.5560447
people,32.7174209,-117.1627714
people,38.8903961,-77.0841585
people,38.8949549,-77.0366456
people,43.0349931,-87.922497
people,49.9584438,-110.2732606
people,46.8443248,-71.2743272
people,38.8949549,-77.0366456
people,38.8949549,-77.0366456
people,45.4972159,-73.6103642
people,-33.1544416,-60.5131222
people,40.7306458,-73.9866136
people,39.93344315,-75.1588618610092
people,45.4972159,-73.6103642
people,35.2827525,-120.6596156
people,38.8949549,-77.0366456
people,41.8755546,-87.6244212
people,40.4416941,-79.9900861
people,47.6038321,-122.3300624
people,51.5073219,-0.1276474
people,37.3688301,-122.0363496
people,45.5073725,-73.6050824
people,51.5073219,-0.1276474
people,51.5073219,-0.1276474
people,46.8443248,-71.2743272
people,46.8443248,-71.2743272
people,39.7837304,-100.4458825
people,38.8949549,-77.0366456
people,37.7884969,-122.3558473
people,40.6501038,-73.9495823
people,40.7306458,-73.9866136
people,40.7306458,-73.9866136
people,34.054935,-118.244476
people,30.2711286,-97.7436995
people,8.4639553,-13.1991198
people,42.3604823,-71.0595678
people,47.8281467,-122.5982649
people,32.701939,-97.1057149357776
people,40.6501038,-73.9495823
people,38.8949549,-77.0366456
people,40.7306458,-73.9866136
people,46.8443248,-71.2743272
people,42.3604823,-71.0595678
people,34.054935,-118.244476
people,46.8443248,-71.2743272
people,43.653963,-79.387207
people,32.7762719,-96.7968559
people,39.7837304,-100.4458825
people,40.660328,-73.947256
people,45.5027976,-91.7331646
people,42.3604823,-71.0595678
people,32.7762719,-96.7968559
people,42.3750997,-71.1056157
people,38.8949549,-77.0366456
people,40.7306458,-73.9866136
people,38.8949549,-77.0366456
people,47.6038321,-122.3300624
people,39.9523993,-75.1635899
people,38.2542376,-85.759407
people,38.8949549,-77.0366456
people,38.8949549,-77.0366456
people,34.054935,-118.244476
people,38.8949549,-77.0366456
people,32.7762719,-96.7968559
people,36.29885175,-82.3591933141095
people,46.8443248,-71.2743272
people,36.7014631,-118.7559974
people,47.6038321,-122.3300624
people,38.6337716,-90.2416548
people,43.4849133,-71.6553992
people,41.7962409,-71.5992372
people,38.8949549,-77.0366456
people,32.6484562,-96.782610231316
people,45.5202471,-122.6741949
people,40.6524927,-73.7914214158161
people,37.4429964,-122.1545229
people,51.5073219,-0.1276474
people,37.442156,-122.1634472
people,40.7306458,-73.9866136
people,42.9632405,-85.6678639
people,41.6786754,-83.5127283
people,37.4248398,-122.1677058
people,30.2711286,-97.7436995
people,38.8949549,-77.0366456
people,35.9061109,-78.9957822
people,34.054935,-118.244476
people,20.4317585,-86.9202745659766
people,34.1028268,-118.3299899
people,33.7490987,-84.3901849
people,19.5417212,-80.5667132
people,40.7306458,-73.9866136
people,34.054935,-118.244476
people,38.8949549,-77.0366456
people,40.7623148,-73.9739028212589
people,44.3669375,-80.7272504
people,47.6038321,-122.3300624
people,40.6799368,-73.9435659
people,39.7837304,-100.4458825
people,42.2681569,-83.7312291
people,45.5361933,-73.6077401
people,42.2792625,-71.416172
people,42.3788774,-72.032366
people,32.7762719,-96.7968559
people,39.9523993,-75.1635899
people,40.4167047,-3.7035825
people,46.8443248,-71.2743272
people,37.442156,-122.1634472
people,29.7589382,-95.3676974
people,34.054935,-118.244476
people,34.054935,-118.244476
people,46.8443248,-71.2743272
people,33.6290111,-112.2819337
people,32.7762719,-96.7968559
people,38.844013,-77.000659
people,40.7306458,-73.9866136
people,34.054935,-118.244476
people,45.5202471,-122.6741949
people,40.7306458,-73.9866136
people,40.7306458,-73.9866136
people,40.7306458,-73.9866136
people,33.7490987,-84.3901849
people,47.5581077,7.5878261
people,39.0885405,-120.050352773017
people,38.8949549,-77.0366456
people,34.054935,-118.244476
people,32.7762719,-96.7968559
people,34.054935,-118.244476
people,46.8443248,-71.2743272
people,31.8160381,-99.5120986
people,40.7306458,-73.9866136
people,46.8443248,-71.2743272
people,47.5348778,-122.0432974
people,38.8949549,-77.0366456
people,35.9966551,-78.9018115
people,39.7837304,-100.4458825
people,40.7306458,-73.9866136
people,37.413991,-118.612997
people,39.9622601,-83.0007065
people,26.3586885,-80.0830984
people,46.724362,-75.559685
people,36.29885175,-82.3591933141095
people,36.29885175,-82.3591933141095
people,46.8443248,-71.2743272
people,36.7014631,-118.7559974
people,40.7306458,-73.9866136
people,32.7762719,-96.7968559
people,30.2711286,-97.7436995
people,36.29885175,-82.3591933141095
people,32.7762719,-96.7968559
people,40.6798863,-73.9407616
people,51.5073219,-0.1276474
people,34.054935,-118.244476
people,40.7306458,-73.9866136
people,49.2608724,-123.1139529
people,25.7742658,-80.1936589
people,-28.2305866,153.1335204
