class,latitude,longitude
no_time_zone,34.054935,-118.244476
no_time_zone,38.8147596,-77.0902476527272
no_time_zone,40.7670126,-111.8904308
no_time_zone,51.0000002,-109.0000002
no_time_zone,39.7837304,-100.4458825
no_time_zone,36.6103334,-88.314761
no_time_zone,32.7876012,-79.9402728
no_time_zone,32.3293809,-83.1137366
no_time_zone,33.7490987,-84.3901849
no_time_zone,34.2073196,-84.1401926
no_time_zone,45.5202471,-122.6741949
no_time_zone,35.6729639,-79.0392919
no_time_zone,25.7742658,-80.1936589
no_time_zone,46.8443248,-71.2743272
no_time_zone,38.8147596,-77.0902476527272
no_time_zone,36.7014631,-118.7559974
no_time_zone,29.7946641,-98.7319703
no_time_zone,29.4246002,-98.4951405
no_time_zone,29.4246002,-98.4951405
no_time_zone,30.2711286,-97.7436995
no_time_zone,33.6956461,-78.8900409
no_time_zone,29.7589382,-95.3676974
no_time_zone,40.7306458,-73.9866136
no_time_zone,30.2711286,-97.7436995
no_time_zone,32.7174209,-117.1627714
no_time_zone,8.6545394,-73.3676149
no_time_zone,30.3321838,-81.655651
no_time_zone,35.4729886,-97.5170536
no_time_zone,39.7837304,-100.4458825
no_time_zone,35.53487495,-82.6042312604087
no_time_zone,40.7902778,-73.9597222
no_time_zone,40.0757384,-74.4041622
no_time_zone,34.0224149,-118.286344073446
no_time_zone,25.7742658,-80.1936589
no_time_zone,42.3604823,-71.0595678
no_time_zone,47.7545827,-122.1588902
no_time_zone,52.4776875,-1.8948516
no_time_zone,39.7837304,-100.4458825
no_time_zone,43.4849133,-71.6553992
no_time_zone,41.8755546,-87.6244212
no_time_zone,8.444585,125.951249185475
no_time_zone,37.4429964,-122.1545229
no_time_zone,37.4863239,-122.2325233
no_time_zone,46.8443248,-71.2743272
no_time_zone,32.7762719,-96.7968559
no_time_zone,43.653963,-79.387207
no_time_zone,14.3317116,121.0417687
no_time_zone,46.8443248,-71.2743272
no_time_zone,41.8755546,-87.6244212
no_time_zone,32.1901569,-92.5837594
no_time_zone,41.8755546,-87.6244212
no_time_zone,38.8147596,-77.0902476527272
no_time_zone,38.8147596,-77.0902476527272
no_time_zone,41.8755546,-87.6244212
no_time_zone,33.7500378,-117.8704931
no_time_zone,-33.8548157,151.2164539
no_time_zone,39.7391536,-104.9847034
no_time_zone,37.496904,-122.3330573
no_time_zone,37.4429964,-122.1545229
no_time_zone,46.8443248,-71.2743272
no_time_zone,46.8443248,-71.2743272
no_time_zone,40.7306458,-73.9866136
no_time_zone,45.785278,-72.0158562
no_time_zone,42.0447388,-87.6930459
no_time_zone,33.4485866,-112.0773456
no_time_zone,35.9131542,-79.05578
no_time_zone,39.7837304,-100.4458825
no_time_zone,32.7174209,-117.1627714
no_time_zone,37.8708393,-122.2728639
no_time_zone,45.5073725,-73.6050824
no_time_zone,41.8755546,-87.6244212
no_time_zone,42.4396039,-76.4968019
no_time_zone,36.1622296,-86.7743531
no_time_zone,33.3528259,-111.7890239
no_time_zone,54.31536155,-1.91802349480124
no_time_zone,43.653963,-79.387207
no_time_zone,39.7837304,-100.4458825
no_time_zone,33.7804491,-87.2767248
no_time_zone,44.9772995,-93.2654692
no_time_zone,32.3293809,-83.1137366
no_time_zone,27.7567667,-81.4639835
