user,latitude,longitude
Echo Charles,32.7157000,117.1611000
Jocko Willink,32.7157000,117.1611000
Rick L Yost,46.8443248,-71.2743272
Tim Ferriss,46.8443248,-71.2743272
Joe Rogan,32.7157000,117.1611000
Richard Branson,18.5500000,64.3500000
Ali Spagnola,34.0549350,-118.2444760
Official Chris Kyle,31.8160381,-99.5120986
Byron,34.0549350,-118.2444760
Vets2PM,28.0836269,-80.6081089
Patriot Boot Camp,39.7391536,-104.9847034
Dave Drach,40.0149856,-105.2705456
Spartan Media,27.9477595,-82.4584440
KC Chhipwadia,30.2711286,-97.7436995
Charlotte Creech,31.8160381,-99.5120986
Code Platoon,41.8755546,-87.6244212
Combat Flip Flops,47.5348778,-122.0432974
Grunt Style,41.9125286,-88.1347927
Justine Evirs,46.8443248,-71.2743272
